opt	Cancer	clinical	prequel	found_clinical	caught	s_survival	c_survival	original_survivors	shifted_survivors	original_deaths	shifted_deaths	screen_interval	dw_scenario	scan	mode_found	aggressive
1	Anus	1	1	1	0.3144393918138104	0.9088	0.9088	0.2857625192803909	0.2857625192803909	0.028676872533419495	0.028676872533419495	1	1	incident	cfdna	VSlow
1	Anus	1	1	2	0.8842792011510135	0.9088	0.9088	0.8036329380060412	0.8036329380060412	0.08064626314497239	0.08064626314497239	1	1	incident	soc	VSlow
1	Anus	2	1	1	0.5360135203887572	0.9088	0.8214	0.44028150564732516	0.48712908732930255	0.09573201474143202	0.04888443305945463	1	1	incident	cfdna	VSlow
1	Anus	2	2	1	0.3504691694811094	0.8214	0.8214	0.28787537581178324	0.28787537581178324	0.06259379366932613	0.06259379366932613	1	1	incident	cfdna	VSlow
1	Anus	2	2	2	0.9309293704316405	0.8214	0.8214	0.7646653848725495	0.7646653848725495	0.16626398555909097	0.16626398555909097	1	1	incident	soc	VSlow
1	Anus	3	1	1	0.47518929112478486	0.9088	0.6725	0.3195647982814178	0.4318520277742045	0.15562449284336705	0.04333726335058036	1	1	incident	cfdna	VSlow
1	Anus	3	2	1	0.3867955718082989	0.8214	0.6725	0.260120022041081	0.3177138826833367	0.1266755497672179	0.06908168912496217	1	1	incident	cfdna	VSlow
1	Anus	3	3	1	0.3239025019629142	0.6725	0.6725	0.2178244325700598	0.2178244325700598	0.1060780693928544	0.1060780693928544	1	1	incident	cfdna	VSlow
1	Anus	3	3	2	0.42529353962661515	0.6725	0.6725	0.2860099053988987	0.2860099053988987	0.13928363422771647	0.13928363422771647	1	1	incident	soc	VSlow
1	Anus	4	1	1	0.14825905883093288	0.9088	0.2353	0.03488535654291851	0.1347378326655518	0.11337370228801436	0.01352122616538107	1	1	incident	cfdna	VSlow
1	Anus	4	2	1	0.12068021840418923	0.8214	0.2353	0.02839605539050573	0.09912673139720103	0.0922841630136835	0.021553487006988194	1	1	incident	cfdna	VSlow
1	Anus	4	3	1	0.1477577452139112	0.6725	0.2353	0.0347673974488333	0.09936708365635527	0.11299034776507788	0.04839066155755592	1	1	incident	cfdna	VSlow
1	Anus	4	4	1	0.03717696632401876	0.2353	0.2353	0.008747740176041616	0.008747740176041616	0.028429226147977146	0.028429226147977146	1	1	incident	cfdna	VSlow
1	Anus	4	4	2	0.048814453438003134	0.2353	0.2353	0.011486040893962138	0.011486040893962138	0.03732841254404099	0.03732841254404099	1	1	incident	soc	VSlow
1	Bladder	1	1	1	5.991610401326117	0.8622	0.8622	5.165966488023378	5.165966488023378	0.8256439133027391	0.8256439133027391	1	1	incident	cfdna	VSlow
1	Bladder	1	1	2	6.1280612813004245	0.8622	0.8622	5.283614436737226	5.283614436737226	0.8444468445631987	0.8444468445631987	1	1	incident	soc	VSlow
